title,description,text,category,priority
Slow water flow,Slow water flow near Sector 7 needs pressure check,slow water flow. slow water flow near sector 7 needs pressure check,Water,Low
Old electric pole,Old electric pole near Main Road needs replacement,old electric pole. old electric pole near main road needs replacement,Electricity,Low
Electric pole fallen,Electric pole fallen near Main Road causing power outage and risk,electric pole fallen. electric pole fallen near main road causing power outage and risk,Electricity,High
Major leakage flooding,Major leakage flooding road near Near School blocking traffic,major leakage flooding. major leakage flooding road near near school blocking traffic,Water,High
Bad smell from bins,Bad smell from waste bins near Market Area affecting residents,bad smell from bins. bad smell from waste bins near market area affecting residents,Sanitation,Medium
Old electric pole,Old electric pole near Main Road needs replacement,old elctric pol. old electric pole nar main road neds replacmnt,Electricity,Low
Broken dustbin lid,Dustbin lid broken near Main Road needs repair,broken dustbin lid. dustbin lid broken near main road needs repair,Sanitation,Low
Garbage not collected,Garbage not collected for many days near Sector 5 causing health hazard,garbage not collected. garbage not collected for many days near sector 5 causing health hazard,Sanitation,High
Wires tangled,Wires tangled near pole near Main Road need organization,wires tangled. wires tangled near pole near main road need organization,Electricity,Low
Dust on roadside,Dust on roadside near Market Area needs cleaning,dust on roadside. dust on roadside near market area needs cleaning,Roads,Low
Deep pit on road,Deep pit on road near Ward 2 causing vehicle damage,deep pit on road. deep pit on road near ward to causing vehicle damage,Roads,High
Dirty public toilet,Public toilet dirty near Bus Stand requires cleaning,dirty public toilet. public toilet dirty near bus stand requires cleaning,Sanitation,Medium
Uneven road,Uneven road slowing traffic near Ward 2 needs leveling,uneven road. uneven road slowing traffic near ward to needs leveling,Roads,Medium
Water pressure fluctuates,Water pressure fluctuates slightly near Residential Colony,water pressure fluctuates. water pressure fluctuates slightly near residential colony,Water,Low
Low voltage issue,Low voltage issue near Residential Colony affecting electrical appliances,low voltage issue. low voltage issue near residential colony affecting electrical appliances,Electricity,Medium
Minor garbage scattered,Minor garbage scattered near Bus Stand needs cleanup,minor garbage scattered. minor garbage scattered near bus stand needs cleanup,Sanitation,Low
Bridge damaged,Bridge damaged near Residential Colony requires immediate attention,bridge broke. bridge broke near residential colony requires immediate attention,Roads,High
No water supply,No water supply for several days near Sector 7 causing hardship,no water supply. no water supply for several days near sector 7 causing hardship,Water,High
Uneven road,Uneven road slowing traffic near Sector 7 needs leveling,uneven road. uneven road slowing traffic near sector 7 needs leveling,Roads,Medium
Electric box rusted,Electric box rusted near Market Area needs maintenance,electric box rusted. electric box rusted near market area needs maintenance,Electricity,Low
Road lighting problem,Road lighting problem near Ward 2 - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near ward to - this is about electricity infrastructure not road surface,Electricity,Medium
No water supply,No water supply for several days near Ward 2 causing hardship,no water supply. no water supply for several days near ward to causing hardship,Water,High
Waste collection delayed,Waste collection delayed by one day near Near School,waste collection delayed. waste collection delayed by one day near near school,Sanitation,Low
Wires tangled,Wires tangled near pole near Ward 3 need organization,wires tangled. wires tangled near pole near ward 3 need organization,Electricity,Low
Open sewage overflow,Sewage overflowing near Sector 7 causing health risk and foul smell,open sewage overflow. sewage overflowing near sector 7 causing health risk and foul smell,Sanitation,High
Water leakage,Water leakage near Residential Colony wasting water,water leakage. water leakage near residential colony wasting water,Water,Medium
Manhole overflow,Manhole overflow near Market Area spreading foul smell and health risk,manhole overflow. manhole overflow near market area spreading foul smell and health risk,Sanitation,High
Waste collection delayed,Waste collection delayed by one day near Sector 7,waste collection delayed. waste collection delayed by one day near sector 7,Sanitation,Low
Water supply issue,Water supply issue near Ward 2 - this is about water not electricity,water supply issue. water supply issue near ward to - this is about water not electricity,Water,Medium
Road flooded blocking traffic,Road flooded near Sector 7 blocking traffic completely,road flooded blocking traffic. road flooded near sector 7 blocking traffic completely,Roads,High
Water pressure fluctuates,Water pressure fluctuates slightly near Ward 2,water pressure fluctuates. water pressure fluctuates slightly near ward to,Water,Low
Electric sparks during rain,Electric sparks during rain near Residential Colony causing fire risk,electric sparks during rain. electric sparks during rain near residential colony causing fire risk,Electricity,High
Frequent power cuts,Frequent power cuts near Ward 1 affecting daily life,frequent power cuts. frequent power cuts near ward 1 affecting daily life,Electricity,Medium
Irregular water supply,Water supply irregular near Main Road causing inconvenience,irregular water supply. water supply irregular near main road causing inconvenience,Water,Medium
Irregular garbage collection,Garbage collection irregular near Sector 5 causing inconvenience,irregular garbage collection. garbage collection irregular near sector 5 causing inconvenience,Sanitation,Medium
Small crack on road,Small crack on road near Ward 3 needs repair,small crack on road. small crack on road near ward 3 needs repair,Roads,Low
High voltage fluctuation,High voltage fluctuation damaging appliances near Ward 2,high voltage fluctuation. high voltage fluctuation damaging appliances near ward to,Electricity,High
Loose gravel on road,Loose gravel on road near Market Area causing skidding,loose gravel on road. loose gravel on road near market area causing skidding,Roads,Medium
Stagnant water breeding,Stagnant water breeding mosquitoes near Bus Stand - this is about sanitation not water supply,stagnant water breeding. stagnant water breeding mosquitoes near bus stand - this is about sanitation not water supply,Sanitation,Low
Water contamination,Water contamination causing illness near Sector 5,water contamination. water contamination causing illness near sector 5,Water,High
Sewage pipe burst,Sewage pipe burst near Ward 3 - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near ward 3 - this is about sanitation not water supply,Sanitation,Medium
Stagnant water breeding,Stagnant water breeding mosquitoes near Ward 3 - this is about sanitation not water supply,stagnant water breeding. stagnant water breeding mosquitoes near ward 3 - this is about sanitation not water supply,Sanitation,Low
Waste collection delayed,Waste collection delayed by one day near Ward 3,waste collection delayed. waste collection delayed by one day near ward 3,Sanitation,Low
Sewage entering houses,Sewage water entering houses near Market Area causing property damage,sewage entering houses. sewage water entering houses near market area causing property damage,Sanitation,High
Water supply issue,Water supply issue near Ward 1 - this is about water not electricity,water supply issue. water supply issue near ward 1 - this is about water not electricity,Water,Low
Minor tap leakage,Minor leakage from tap near Residential Colony needs fixing,minor tap leakg. mnr lkage from tap near residential clony nds fixng,Water,Low
Mosquito breeding,Mosquito breeding due to stagnant water near Ward 2,mosquito breeding. mosquito breeding due to stagnant water near ward to,Sanitation,Medium
Manhole overflow,Manhole overflow near Residential Colony spreading foul smell and health risk,manhole overflow. manhole overflow near residential colony spreading foul smell and health risk,Sanitation,High
Broken dustbin lid,Dustbin lid broken near Sector 7 needs repair,broken dustbin lid. dustbin lid broken near sector 7 needs repair,Sanitation,Low
Small crack on road,Small crack on road near Near Hospital needs repair,small crack on road. small crack on road near near hospital needs repair,Roads,Low
Traffic pole bent,Traffic pole bent near Sector 7 - this is about road infrastructure not electricity,traffic pole bent. traffic pole bent near sector 7 - this is about road infrastructure not electricity,Roads,Low
Slow water flow,Slow water flow near Near School needs pressure check,slow water flow. slow water flow near near school needs pressure check,Water,Low
Road flooded blocking traffic,Road flooded near Bus Stand blocking traffic completely,road flooded blocking traffic. road flooded near bus stand blocking traffic completely,Roads,High
Low voltage issue,Low voltage issue near Residential Colony affecting electrical appliances,low voltage issue. low voltage issue near residential colony affecting electrical appliances,Electricity,Medium
Water meter damaged,Water meter damaged near Ward 3 needs replacement,water meter damaged. water meter damaged near ward 3 needs replacement,Water,Low
Slow water flow,Slow water flow near Market Area needs pressure check,slow water flow. slow water flow near market area needs pressure check,Water,Low
Dirty drinking water,Dirty drinking water supplied near Ward 3 causing health risk,dirty drinking water. dirty drinking water supplied near ward 3 causing health risk,Water,High
Electric pole damaged,Electric pole damaged near Residential Colony - this is about electricity not road infrastructure,electric pole damaged. electric pole damaged near residential colony - this is about electricity not road infrastructure,Electricity,High
Dead animal on road,Dead animal lying on road near Sector 7 needs immediate removal,dead animal on road. dead animal lying on road near sector 7 needs immediate removal,Sanitation,High
Electric pole damaged,Electric pole damaged near Near School - this is about electricity not road infrastructure,electric pole damaged. electric pole damaged near near school - this is about electricity not road infrastructure,Electricity,High
Waste collection delayed,Waste collection delayed by one day near Sector 5,waste collection delayed. waste collection delayed by one day near sector 5,Sanitation,Low
Bent road sign,Road sign slightly bent near Sector 7 needs straightening,bent road sign. road sign slightly bent near sector 7 needs straightening,Roads,Low
Damaged speed breaker,Speed breaker damaged near Market Area needs repair,damaged speed breaker. speed breaker damaged near market area needs repair,Roads,Medium
Deep pit on road,Deep pit on road near Ward 3 causing vehicle damage,deep pit on road. deep pit on road near ward 3 causing vehicle damage,Roads,High
Water overflow from drain,Water overflow from drain near Ward 3 - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near ward 3 - this is about sanitation drainage not water supply,Sanitation,Low
Open sewage overflow,Sewage overflowing near Near Hospital causing health risk and foul smell,open sewage overflow. sewage overflowing near near hospital causing health risk and foul smell,Sanitation,High
Waste collection delayed,Waste collection delayed by one day near Ward 3,waste collecton delayd. waste cllcton dlyed by one day near ward 3,Sanitation,Low
Street light not working,Street light not working near Near School - this is about electricity not water supply,street light not working. street light not working near near school - this is about electricity not water supply,Electricity,Low
Damaged speed breaker,Speed breaker damaged near Main Road needs repair,damaged speed breaker. speed breaker damaged near main road needs repair,Roads,Medium
High voltage fluctuation,High voltage fluctuation damaging appliances near Main Road,high voltage fluctuation. high voltage fluctuation damaging appliances near main road,Electricity,High
Minor road patch damage,Minor road patch damage near Residential Colony needs attention,minor road patch damage. minor road patch damage near residential colony needs attention,Roads,Low
Bent road sign,Road sign slightly bent near Residential Colony needs straightening,bent road sign. road sign slightly bent near residential colony needs straightening,Roads,Low
Irregular garbage collection,Garbage collection irregular near Main Road causing inconvenience,irregular garbage collection. garbage collection irregular near main road causing inconvenience,Sanitation,Medium
Street light dim,Street light dim near Ward 3 needs bulb replacement,street light dim. street light dim near ward 3 needs bulb replacement,Electricity,Low
Power supply problem,Power supply problem near Ward 1 - this is about electricity not water,power supply problem. power supply problem near ward 1 - this is about electricity not water,Electricity,Low
Street light covered,Street light covered by tree branches near Main Road,street light covered. street light covered by tree branches near main road,Electricity,Low
Waste collection delayed,Waste collection delayed by one day near Ward 1,waste collection delayed. waste collection delayed by one day near ward 1,Sanitation,Low
Bent road sign,Road sign slightly bent near Near Hospital needs straightening,bent road sign. road sign slightly bent near near hospital needs straightening,Roads,Low
Electric pole tilted,Electric pole tilted near Bus Stand needs correction,electric pole tilted. electric pole tilted near bus stand needs correction,Electricity,Medium
Minor garbage scattered,Minor garbage scattered near Market Area needs cleanup,minor garbage scattered. minor garbage scattered near market area needs cleanup,Sanitation,Low
Road surface cracks,Road surface cracks near Main Road need patching,road surface cracks. road surface cracks near main road need patching,Roads,Medium
Small crack on road,Small crack on road near Near School needs repair,small crack on road. small crack on road near near school needs repair,Roads,Low
Road flooded blocking traffic,Road flooded near Ward 1 blocking traffic completely,road flooded blocking traffic. road flooded near ward 1 blocking traffic completely,Roads,High
Bridge damaged,Bridge damaged near Near Hospital requires immediate attention,bridge damaged. bridge damaged near near hospital requires immediate attention,Roads,High
Street lights not working,Street lights not working near Ward 3 causing safety concern,street lights not working. street lights not working near ward 3 causing safety concern,Electricity,Medium
Electric pole tilted,Electric pole tilted near Sector 7 needs correction,electric pole tilted. electric pole tilted near sector 7 needs correction,Electricity,Medium
Major leakage flooding,Major leakage flooding road near Ward 2 blocking traffic,major leakage flooding. major leakage flooding road near ward to blocking traffic,Water,High
Water pipeline burst,Water pipeline burst near Bus Stand flooding the area,water pipeline burst. water pipeline burst near bus stand flooding the area,Water,High
Electric pole blocking road,Electric pole blocking road near Ward 1 - this is about electricity infrastructure not road repair,electric pole blocking road. electric pole blocking road near ward 1 - this is about electricity infrastructure not road repair,Electricity,Medium
Public tap not working,Public tap not working near Sector 5 needs repair,public tap not working. public tap not working near sector 5 needs repair,Water,Medium
Road surface cracks,Road surface cracks near Near Hospital need patching,road surface cracks. road surface cracks near near hospital need patching,Roads,Medium
Wires tangled,Wires tangled near pole near Ward 3 need organization,wires tangled. wires tangled near pole near ward 3 need organization,Electricity,Low
Bad smell from bins,Bad smell from waste bins near Ward 1 affecting residents,bad smell from bins. bad smell from waste bins near ward 1 affecting residents,Sanitation,Medium
Large pothole causing accidents,Large pothole causing accidents near Bus Stand needs urgent repair,large pothole causing accidents. large pothole causing accidents near bus stand needs urgent repair,Roads,High
Damaged speed breaker,Speed breaker damaged near Main Road needs repair,damaged speed breaker. speed breaker damaged near main road needs repair,Roads,Medium
Traffic pole bent,Traffic pole bent near Near School - this is about road infrastructure not electricity,traffic pole bent. traffic pole bent near near school - this is about road infrastructure not electricity,Roads,High
Street light dim,Street light dim near Ward 3 needs bulb replacement,street light dim. street light dim near ward 3 needs bulb replacement,Electricity,Low
Road surface cracks,Road surface cracks near Sector 5 need patching,road surface cracks. road surface cracks near sector 5 need patching,Roads,Medium
Mosquito breeding,Mosquito breeding due to stagnant water near Main Road,mosquito breeding. mosquito breeding due to stagnant water near main road,Sanitation,Medium
Street light blinking,Street light blinking near Sector 7 needs repair,street light blinking. street light blinking near sector 7 needs repair,Electricity,Medium
Low water pressure,Low water pressure near Ward 3 affecting daily use,low water pressure. low water pressure near ward 3 affecting daily use,Water,Medium
Frequent power cuts,Frequent power cuts near Ward 3 affecting daily life,frequent power cuts. frequent power cuts near ward 3 affecting daily life,Electricity,Medium
Deep pit on road,Deep pit on road near Ward 3 causing vehicle damage,deep pit on road. deep pit on road near ward 3 causing vehicle damage,Roads,High
Minor garbage scattered,Minor garbage scattered near Ward 1 needs cleanup,minor garbage scattered. minor garbage scattered near ward 1 needs cleanup,Sanitation,Low
Irregular water supply,Water supply irregular near Market Area causing inconvenience,irregular water supply. water supply irregular near market area causing inconvenience,Water,Medium
Electric pole tilted,Electric pole tilted near Near School needs correction,electric pole tilted. electric pole tilted near near school needs correction,Electricity,Medium
Water contamination,Water contamination causing illness near Market Area,water contamination. water contamination causing illness near market area,Water,High
Road flooded blocking traffic,Road flooded near Near School blocking traffic completely,road flooded blocking traffic. rad flooded nar nar school blcking trffic completely,Roads,High
Street light covered,Street light covered by tree branches near Residential Colony,street light covered. street light covered by tree branches near residential colony,Electricity,Low
Bent road sign,Road sign slightly bent near Ward 1 needs straightening,bent road sign. road sign slightly bent near ward 1 needs straightening,Roads,Low
Stagnant water breeding,Stagnant water breeding mosquitoes near Near School - this is about sanitation not water supply,stagnant water breeding. stagnant water breeding mosquitoes near near school - this is about sanitation not water supply,Sanitation,High
Road flooded blocking traffic,Road flooded near Ward 2 blocking traffic completely,road flooded blocking traffic. road flooded near ward to blocking traffic completely,Roads,High
Street light not working,Street light not working near Sector 5 - this is about electricity not water supply,street light not working. street light not working near sector 5 - this is about electricity not water supply,Electricity,Medium
Electric pole damaged,Electric pole damaged near Ward 2 - this is about electricity not road infrastructure,electric pole damaged. electric pole damaged near ward to - this is about electricity not road infrastructure,Electricity,High
Street light dim,Street light dim near Near Hospital needs bulb replacement,street light dim. street light dim near near hospital needs bulb replacement,Electricity,Low
Large pothole causing accidents,Large pothole causing accidents near Bus Stand needs urgent repair,large pothole causing accidents. large pothole causing accidents near bus stand needs urgent repair,Roads,High
Large pothole causing accidents,Large pothole causing accidents near Ward 1 needs urgent repair,large pothole causing accidents. large pothole causing accidents near ward 1 needs urgent repair,Roads,High
Water timing delay,Water timing delay near Near School causing minor inconvenience,water timing delay. water timing delay near near school causing minor inconvenience,Water,Low
Broken dustbin lid,Dustbin lid broken near Near Hospital needs repair,broken dustbin lid. dustbin lid broken near near hospital needs repair,Sanitation,Low
High voltage fluctuation,High voltage fluctuation damaging appliances near Residential Colony,high voltge fluctutin. high voltge fluctution damaging appliancs near resdentil colony,Electricity,High
Damaged speed breaker,Speed breaker damaged near Near Hospital needs repair,damged speed breaker. speed breakr dmgd ner nar hospitl needs repair,Roads,Medium
Minor road patch damage,Minor road patch damage near Near School needs attention,minor road patch damage. minor road patch damage near near school needs attention,Roads,Low
Water overflow from tank,Water overflow from tank near Main Road wasting water,water overflow from tank. water overflow from tank near main road wasting water,Water,Medium
Irregular water supply,Water supply irregular near Residential Colony causing inconvenience,irregular water supply. water supply irregular near residential colony causing inconvenience,Water,Medium
Occasional bad smell,Occasional bad smell near Main Road from waste,occasional bad smell. occasional bad smell near main road from waste,Sanitation,Low
Road flooded blocking traffic,Road flooded near Sector 5 blocking traffic completely,road flded blockng traffc. road floded ner sctr 5 blocking traffic cmpletely,Roads,High
Mosquito breeding,Mosquito breeding due to stagnant water near Market Area,mosquito breeding. mosquito breeding due to stagnant water near market area,Sanitation,Medium
Uneven road,Uneven road slowing traffic near Residential Colony needs leveling,uneven road. uneven road slowing traffic near residential colony needs leveling,Roads,Medium
Dirty public toilet,Public toilet dirty near Residential Colony requires cleaning,dirty public toilet. public toilet dirty near residential colony requires cleaning,Sanitation,Medium
Road flooded blocking traffic,Road flooded near Near Hospital blocking traffic completely,road flooded blocking traffic. road flooded near near hospital blocking traffic completely,Roads,High
Garbage not collected,Garbage not collected for many days near Market Area causing health hazard,garbage not collected. garbage not collected for many days near market area causing health hazard,Sanitation,High
Sewage entering houses,Sewage water entering houses near Ward 2 causing property damage,sewage entering houses. sewage water entering houses near ward to causing property damage,Sanitation,High
Electric pole fallen,Electric pole fallen near Bus Stand causing power outage and risk,electric pole fallen. electric pole fallen near bus stand causing power outage and risk,Electricity,High
Manhole overflow,Manhole overflow near Sector 5 spreading foul smell and health risk,manhole overflow. manhole overflow near sector 5 spreading foul smell and health risk,Sanitation,High
Electric pole damaged,Electric pole damaged near Residential Colony - this is about electricity not road infrastructure,electric pole damaged. electric pole damaged near residential colony - this is about electricity not road infrastructure,Electricity,High
Faded road markings,Faded road markings near Ward 1 need repainting,faded road markings. faded road markings near ward 1 need repainting,Roads,Low
Dry leaves accumulated,Dry leaves accumulated near Bus Stand need removal,dry leaves accumulated. dry leaves accumulated near bus stand need removal,Sanitation,Low
Water contamination,Water contamination causing illness near Sector 7,water contamination. water contamination causing illness near sector 7,Water,High
Sewage pipe burst,Sewage pipe burst near Ward 3 - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near ward 3 - this is about sanitation not water supply,Sanitation,High
Wires tangled,Wires tangled near pole near Near Hospital need organization,wires tangled. wires tangled near pole near near hospital need organization,Electricity,Low
Dirty public toilet,Public toilet dirty near Near School requires cleaning,dirty public tilet. public toilet dirty near near schol rqures cleanng,Sanitation,Medium
Irregular water supply,Water supply irregular near Ward 1 causing inconvenience,irregular water supply. water supply irregular near ward 1 causing inconvenience,Water,Medium
Slow water flow,Slow water flow near Residential Colony needs pressure check,slow water flow. slow water flow near residential colony needs pressure check,Water,Low
Water pipe repair,Water pipe repair needed near Sector 5 - this is about water supply not sanitation,water pipe repair. water pipe repair needed near sector 5 - this is about water supply not sanitation,Water,Low
Street lights not working,Street lights not working near Residential Colony causing safety concern,street lights not working. street lights not working near residential colony causing safety concern,Electricity,Medium
Electric pole damaged,Electric pole damaged near Market Area - this is about electricity not road infrastructure,electric pole damaged. electric pole damaged near market area - this is about electricity not road infrastructure,Electricity,Medium
Bad smell from bins,Bad smell from waste bins near Near Hospital affecting residents,bad smell from bins. bad smell from waste bins near near hospital affecting residents,Sanitation,Medium
Large pothole causing accidents,Large pothole causing accidents near Main Road needs urgent repair,large pothole causing accidents. large pothole causing accidents near main road needs urgent repair,Roads,High
Water overflow from tank,Water overflow from tank near Sector 7 wasting water,water overflow from tank. water overflow from tank near sector 7 wasting water,Water,Medium
Electric pole fallen,Electric pole fallen near Market Area causing power outage and risk,electric pole fallen. electric pole fallen near market area causing power outage and risk,Electricity,High
Water contamination,Water contamination causing illness near Ward 3,water contamination. water contamination causing illness near ward 3,Water,High
Waste collection delayed,Waste collection delayed by one day near Ward 2,waste collection delayed. waste collection delayed by one day near ward to,Sanitation,Low
Road lighting problem,Road lighting problem near Main Road - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near main road - this is about electricity infrastructure not road surface,Electricity,High
Minor road patch damage,Minor road patch damage near Near School needs attention,minor road patch damage. minor road patch damage near near school needs attention,Roads,Low
Road lighting problem,Road lighting problem near Near Hospital - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near near hospital - this is about electricity infrastructure not road surface,Electricity,High
Minor tap leakage,Minor leakage from tap near Main Road needs fixing,minor tap leakage. minor leakage from tap near main road needs fixing,Water,Low
Power supply problem,Power supply problem near Residential Colony - this is about electricity not water,power supply problem. power supply problem near residential colony - this is about electricity not water,Electricity,Low
Old electric pole,Old electric pole near Sector 7 needs replacement,old electric pole. old electric pole near sector 7 needs replacement,Electricity,Low
Major leakage flooding,Major leakage flooding road near Market Area blocking traffic,major leakage flooding. major leakage flooding road near market area blocking traffic,Water,High
Water leakage,Water leakage near Residential Colony wasting water,water leakage. water leakage near residential colony wasting water,Water,Medium
High voltage fluctuation,High voltage fluctuation damaging appliances near Ward 3,high voltage fluctuation. high voltage fluctuation damaging appliances near ward 3,Electricity,High
Damaged speed breaker,Speed breaker damaged near Ward 3 needs repair,damaged speed breaker. speed breaker damaged near ward 3 needs repair,Roads,Medium
Broken footpath,Broken footpath near Near School causing pedestrian inconvenience,broken footpath. broken footpath near near school causing pedestrian inconvenience,Roads,Medium
Dead animal on road,Dead animal lying on road near Near Hospital needs immediate removal,dead animal on road. dead animal lying on road near near hospital needs immediate removal,Sanitation,High
Bridge damaged,Bridge damaged near Near School requires immediate attention,bridge damaged. bridge damaged near near school requires immediate attention,Roads,High
Uneven road,Uneven road slowing traffic near Market Area needs leveling,uneven road. uneven road slowing traffic near market area needs leveling,Roads,Medium
Wires tangled,Wires tangled near pole near Sector 7 need organization,wires tangled. wires tangled near pole near sector 7 need organization,Electricity,Low
Water contamination,Water contamination causing illness near Residential Colony,water contamination. water contamination causing illness near residential colony,Water,High
Street light blinking,Street light blinking near Near Hospital needs repair,street light blinking. street light blinking near near hospital needs repair,Electricity,Medium
Street light covered,Street light covered by tree branches near Near Hospital,strt light covered. street lght cvered by tree branchs ner nr hospitl,Electricity,Low
Sewage pipe burst,Sewage pipe burst near Sector 7 - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near sector 7 - this is about sanitation not water supply,Sanitation,High
Water pressure fluctuates,Water pressure fluctuates slightly near Residential Colony,water pressure fluctuates. water pressure fluctuates slightly near residential colony,Water,Low
Bad smell from bins,Bad smell from waste bins near Residential Colony affecting residents,bad smell from bins. bad smell from waste bins near residential colony affecting residents,Sanitation,Medium
Irregular garbage collection,Garbage collection irregular near Ward 3 causing inconvenience,irregular garbage collection. garbage collection irregular near ward 3 causing inconvenience,Sanitation,Medium
Transformer blast,Transformer blast reported near Ward 3 causing power failure,transformer blast. transformer blast reported near ward 3 causing power failure,Electricity,High
Transformer blast,Transformer blast reported near Main Road causing power failure,transformer blast. transformer blast reported near main road causing power failure,Electricity,High
Bad smell from bins,Bad smell from waste bins near Ward 2 affecting residents,bad smell from bins. bad smell from waste bins near ward to affecting residents,Sanitation,Medium
Electric sparks during rain,Electric sparks during rain near Ward 1 causing fire risk,electric sparks during rain. electric sparks during rain near ward 1 causing fire risk,Electricity,High
Waste collection delayed,Waste collection delayed by one day near Sector 7,waste collection delayed. waste collection delayed by one day near sector 7,Sanitation,Low
Street light blinking,Street light blinking near Market Area needs repair,street light blinking. street light blinking near market area needs repair,Electricity,Medium
Minor road patch damage,Minor road patch damage near Ward 2 needs attention,minor road patch damage. minor road patch damage near ward to needs attention,Roads,Low
Low water pressure,Low water pressure near Near School affecting daily use,low water pressure. low watr pressure ner ner schol affecting daily use,Water,Medium
Street light covered,Street light covered by tree branches near Market Area,street light covered. street light covered by tree branches near market area,Electricity,Low
Overflowing dustbin,Overflowing dustbin near Near Hospital needs attention,overflowing dustbin. overflowing dustbin near near hospital needs attention,Sanitation,Medium
Dry leaves accumulated,Dry leaves accumulated near Near School need removal,dry leaves accumulated. dry leaves accumulated near near school need removal,Sanitation,Low
Bad smell from bins,Bad smell from waste bins near Market Area affecting residents,bad smell from bins. bad smell from waste bins near market area affecting residents,Sanitation,Medium
Bad smell from bins,Bad smell from waste bins near Main Road affecting residents,bad smell from bins. bad smell from waste bins near main road affecting residents,Sanitation,Medium
Road lighting problem,Road lighting problem near Sector 5 - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near sector 5 - this is about electricity infrastructure not road surface,Electricity,High
Dirty public toilet,Public toilet dirty near Ward 1 requires cleaning,dirty public toilet. public toilet dirty near ward 1 requires cleaning,Sanitation,Medium
Electric pole tilted,Electric pole tilted near Ward 3 needs correction,electric pole tilted. electric pole tilted near ward 3 needs correction,Electricity,Medium
Wires tangled,Wires tangled near pole near Near Hospital need organization,wires tangled. wires tangled near pole near near hospital need organization,Electricity,Low
Road lighting problem,Road lighting problem near Ward 3 - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near ward 3 - this is about electricity infrastructure not road surface,Electricity,Medium
Water overflow from tank,Water overflow from tank near Ward 2 wasting water,water overflow from tank. water overflow from tank near ward to wasting water,Water,Medium
Mosquito breeding,Mosquito breeding due to stagnant water near Bus Stand,mosquito breeding. mosquito breeding due to stagnant water near bus stand,Sanitation,Medium
Major leakage flooding,Major leakage flooding road near Sector 5 blocking traffic,major leakage flooding. major leakage flooding road near sector 5 blocking traffic,Water,High
Public tap not working,Public tap not working near Near Hospital needs repair,public tap not working. public tap not working near near hospital needs repair,Water,Medium
Damaged speed breaker,Speed breaker damaged near Residential Colony needs repair,damaged speed breaker. speed breaker damaged near residential colony needs repair,Roads,Medium
Sewage entering houses,Sewage water entering houses near Sector 7 causing property damage,sewage entering houses. sewage water entering houses near sector 7 causing property damage,Sanitation,High
Electric box rusted,Electric box rusted near Market Area needs maintenance,electric box rusted. electric box rusted near market area needs maintenance,Electricity,Low
Garbage not collected,Garbage not collected for many days near Ward 1 causing health hazard,garbage not collected. garbage not collected for many days near ward 1 causing health hazard,Sanitation,High
Water pressure fluctuates,Water pressure fluctuates slightly near Near School,water pressure fluctuates. water pressure fluctuates slightly near near school,Water,Low
Wires tangled,Wires tangled near pole near Ward 1 need organization,wires tangled. wires tangled near pole near ward 1 need organization,Electricity,Low
Street lights not working,Street lights not working near Ward 3 causing safety concern,street lights not working. street lights not working near ward 3 causing safety concern,Electricity,Medium
Occasional bad smell,Occasional bad smell near Ward 2 from waste,occasinal bad smll. occasnl bad smell near ward to from wste,Sanitation,Low
Irregular garbage collection,Garbage collection irregular near Main Road causing inconvenience,irregular garbage collection. garbage collection irregular near main road causing inconvenience,Sanitation,Medium
Irregular water supply,Water supply irregular near Sector 7 causing inconvenience,irregular water supply. water supply irregular near sector 7 causing inconvenience,Water,Medium
Transformer blast,Transformer blast reported near Sector 5 causing power failure,transformer blast. transformer blast reported near sector 5 causing power failure,Electricity,High
Garbage not collected,Garbage not collected for many days near Sector 7 causing health hazard,garbage not collected. garbage not collected for many days near sector 7 causing health hazard,Sanitation,High
Broken dustbin lid,Dustbin lid broken near Bus Stand needs repair,broken dustbin lid. dustbin lid broken near bus stand needs repair,Sanitation,Low
Dead animal on road,Dead animal lying on road near Near Hospital needs immediate removal,dead animal on road. dead animal lying on road near near hospital needs immediate removal,Sanitation,High
Bad smell from bins,Bad smell from waste bins near Market Area affecting residents,bad smell from bins. bad smell from waste bins near market area affecting residents,Sanitation,Medium
Broken footpath,Broken footpath near Ward 2 causing pedestrian inconvenience,broken footpath. broken footpath near ward to causing pedestrian inconvenience,Roads,Medium
High voltage fluctuation,High voltage fluctuation damaging appliances near Ward 1,high voltage fluctuation. high voltage fluctuation damaging appliances near ward 1,Electricity,High
Major leakage flooding,Major leakage flooding road near Market Area blocking traffic,major leakage flooding. major leakage flooding road near market area blocking traffic,Water,High
Transformer blast,Transformer blast reported near Near Hospital causing power failure,transformer blast. transformer blast reported near near hospital causing power failure,Electricity,High
Road lighting problem,Road lighting problem near Bus Stand - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near bus stand - this is about electricity infrastructure not road surface,Electricity,Low
Transformer blast,Transformer blast reported near Ward 3 causing power failure,transformer blast. transformer blast reported near ward 3 causing power failure,Electricity,High
